Region and State,Total,Inter-governmental,Direct: Total,Elementary and Secondary Education,Higher Education,Public Welfare,Health and hospitals,Highways,Police,All Other,Exhibit: Personal Income,year
New York,176427.2603808,609.997033152,175817.31613056,40988.751283584,8847.456628607999,40517.68641523199,13924.765580543999,8213.383047168,6869.846805120001,56455.39620864,754041.6,2004
Pennsylvania,80269.55384210999,178.77348704999997,80090.78035506001,19811.45840172,6341.390314516999,17649.52545255,5264.743661376,4390.186344294,2332.910105088,24300.548865071,430261.1,2004
Illinois,81077.2859088,1.48491696,81075.782772,19417.065686399998,7234.642968000001,11533.72353504,5399.03052768,4991.87631816,3470.2008309599996,29029.242905760002,455496.0,2004
Indiana,35654.460413,0.0,35654.460413,8911.872688225,3992.1187198750004,5741.48227315,3324.40876105,2320.272463925,926.0887831,10438.209039375,192107.5,2004
Michigan,67407.69178836,58.680455638000005,67349.00810302001,18455.74451476,7946.484759178001,10244.672878636,6926.632069532,3525.985172374,2244.403892052,18005.084816488,322970.2,2004
Ohio,74269.54087686,0.3609956448,74269.17696996001,18742.355295804,6330.932008128,14592.422872377001,6180.296385942001,4097.850067899,2530.6704467729996,21794.660810244,363906.9,2004
Wisconsin,36780.8172853,0.0,36780.8172853,8722.21650806,4222.48489509,6858.36518169,2279.60724321,2874.69744089,1387.5574769099999,10435.884856870001,184129.0,2004
Iowa,18444.484666992,48.06166219679999,18396.424910416,4225.9532794104,2467.3940005983995,3080.6742258,2131.2415386679995,1583.1411673096,492.50960138079995,4415.5082388176,95281.04,2004
Kansas,16285.765598784,1.5380790986,16284.235389334,3694.8533564294,2212.6653765919996,2499.0585028486,1108.5571756336,1773.0904147417996,543.9518600427999,4452.0560798296,87440.54,2004
Minnesota,36032.09946297,0.0,36032.09946297,8258.772736032,3009.6048390330006,8322.174652155,2153.043807603,2976.37554747,1162.604889537,10149.524867547001,187640.7,2004
